TSNE1,TSNE2,TSNE3,Set Label
6.674,-8.946,-5.185,Set B
1.399,-7.589,-5.530,Set B
2.261,-1.254,-5.070,Set B
-9.951,-3.551,0.988,Ambiguous
-8.113,-3.550,4.136,Ambiguous
5.544,0.182,-0.049,Set B
-5.674,-0.211,7.675,Set A
-0.684,5.182,7.145,Set A
-8.499,6.043,0.774,Set A
-2.325,-4.071,11.260,Set A
-8.274,8.662,2.008,Set A
-3.081,9.988,-3.772,Ambiguous
-6.154,-4.005,10.293,Set A
6.188,8.738,3.076,Set A
-3.717,-0.903,9.411,Set A
-5.786,0.899,11.608,Set A
-1.155,-9.387,-4.150,Set B
-1.646,-9.944,-4.046,Set B
6.850,-0.853,-4.725,Set B
0.285,4.975,-0.657,Ambiguous
-4.096,8.951,-7.922,Set B
-3.081,-3.425,-5.637,Set B
2.538,-4.820,3.200,Set A
4.348,-6.381,3.766,Set B
7.735,-8.221,4.479,Ambiguous
2.321,-4.478,5.126,Ambiguous
9.360,2.471,-2.907,Set B
-11.781,0.039,9.075,Set A
7.631,5.246,-2.995,Set B
7.651,0.506,5.745,Ambiguous
3.999,5.988,-0.347,Ambiguous
-5.369,0.116,5.917,Ambiguous
5.067,-1.160,5.503,Ambiguous
1.332,0.664,4.584,Ambiguous
2.144,3.869,-10.209,Set B
-6.365,8.606,-0.840,Set A
-0.109,-3.393,7.182,Set A
6.937,-10.115,-7.850,Set B
-9.347,9.082,5.993,Set A
-7.031,6.768,-7.311,Ambiguous
-5.310,9.846,4.427,Set A
2.880,4.765,6.178,Set A
7.206,-7.943,-5.456,Set B
5.117,-3.572,-11.548,Set B
-3.422,6.050,4.472,Set A
-1.838,4.378,-3.288,Set B
-11.920,-0.665,8.605,Set A
1.542,4.090,10.627,Set A
7.756,0.103,7.852,Ambiguous
3.288,8.313,8.320,Set A
3.217,-9.324,-3.213,Set B
4.624,-6.262,5.074,Ambiguous
-0.798,7.055,8.708,Set A
2.023,-4.308,-12.878,Set B
2.469,-3.936,-10.861,Set B
9.662,-4.946,-1.403,Set B
9.729,-4.369,-6.340,Set B
7.928,-8.975,5.136,Set B
-1.390,-3.201,-7.739,Set B
0.417,0.626,5.815,Set A
-1.195,6.228,7.520,Set A
2.292,-0.164,2.070,Set B
8.989,4.376,-0.816,Set B
-7.548,-8.371,9.005,Set A
-7.893,-7.554,8.931,Set A
-7.457,-7.498,5.389,Set A
-7.108,-7.605,5.965,Set A
1.166,-4.392,-6.565,Set B
10.188,4.722,-0.791,Set B
5.554,3.224,8.811,Set A
-5.031,7.298,10.241,Set A
3.682,-4.918,2.039,Ambiguous
3.686,-4.145,2.179,Set B
-5.775,7.939,-0.334,Set A
4.045,-2.825,1.529,Set B
2.464,2.960,1.652,Ambiguous
-5.148,0.839,3.143,Ambiguous
0.033,-3.456,3.437,Set B
-5.150,-2.720,-2.632,Set B
2.074,-1.681,4.532,Ambiguous
2.783,-1.828,5.203,Set B
2.125,-1.562,7.119,Ambiguous
2.728,-2.263,7.149,Ambiguous
-8.010,7.291,4.996,Set A
-4.237,1.871,8.142,Set A
-8.136,-7.499,9.679,Set A
-7.277,6.647,1.246,Set A
-0.556,-2.820,-5.192,Set B
