Factor 1,Factor 2,Intercept,Age (younger),Age (elder),Gender (M),Gender (F)
0.63,0.08,,,,,
0.43,0.39,,,,,
0.91,0.30,,,,,
0.82,0.41,,,,,
0.60,0.33,,,,,
0.73,0.31,,,,,
0.65,0.30,,,,,
0.75,0.43,,,,,
0.39,0.31,,,,,
0.42,0.45,,,,,
0.55,0.32,,,,,
0.58,0.35,,,,,
0.38,0.22,,,,,
0.38,0.24,,,,,
0.57,0.28,,,,,
0.53,0.29,,,,,
0.80,0.33,,,,,
0.69,0.34,,,,,
0.41,0.50,,,,,
0.22,0.84,,,,,
0.52,0.31,,,,,
0.54,0.25,,,,,
0.47,0.46,,,,,
0.65,0.25,,,,,
0.50,0.60,,,,,
0.55,0.42,,,,,
0.70,0.18,,,,,
0.63,0.44,,,,,
0.53,0.40,,,,,
0.59,0.27,,,,,
0.51,0.21,,,,,
0.53,0.22,,,,,
0.32,0.78,,,,,
0.44,0.46,,,,,
0.31,0.32,,,,,
0.53,0.50,,,,,
0.68,0.42,,,,,
0.18,0.92,,,,,
0.71,0.45,,,,,
0.49,0.44,,,,,
0.50,0.26,,,,,
0.38,0.42,,,,,
0.85,0.32,,,,,
0.67,0.52,,,,,
0.77,0.43,,,,,
0.80,0.45,,,,,
0.88,0.00,,,,,
0.82,0.13,,,,,
0.66,0.41,,,,,
0.61,0.40,,,,,
0.73,0.28,,,,,
0.75,0.25,,,,,
0.59,0.16,,,,,
0.25,0.19,,,,,
0.58,0.39,,,,,
0.60,0.50,,,,,
0.81,0.48,,,,,
0.64,0.81,,,,,
0.85,0.00,,,,,
0.88,0.07,,,,,
0.45,0.32,,,,,
0.74,0.00,,,,,
0.81,0.20,,,,,
0.64,0.07,,,,,
0.57,0.41,,,,,
0.59,0.41,,,,,
0.47,0.58,,,,,
0.50,0.61,,,,,
0.44,0.63,,,,,
0.50,0.57,,,,,
0.57,0.03,,,,,
0.26,0.97,,,,,
0.25,0.81,,,,,
0.77,0.32,,,,,
0.80,0.28,,,,,
0.61,0.48,,,,,
0.61,0.40,,,,,
0.51,0.49,,,,,
0.44,0.71,,,,,
0.45,0.60,,,,,
0.59,0.57,,,,,
0.92,0.34,,,,,
0.88,0.40,,,,,
0.68,0.33,,,,,
0.68,0.22,,,,,
0.42,0.46,,,,,
0.74,0.42,,,,,
0.61,0.49,,,,,
0.46,0.58,,,,,
0.75,0.50,,,,,
0.25,0.38,,,,,
0.32,0.37,,,,,
0.28,0.32,,,,,
0.23,0.40,,,,,
0.61,0.20,,,,,
0.74,0.22,,,,,
0.52,0.36,,,,,
0.81,0.16,,,,,
0.65,0.25,,,,,
0.72,0.49,,,,,
0.66,0.10,,,,,
0.57,0.23,,,,,
0.46,0.33,,,,,
0.56,0.29,,,,,
0.60,0.11,,,,,
0.68,0.30,,,,,
0.62,0.57,,,,,
0.96,0.37,,,,,
0.60,0.51,,,,,
0.59,0.43,,,,,
0.74,0.23,,,,,
0.64,0.27,,,,,
0.55,0.40,,,,,
0.74,0.14,,,,,
0.65,0.16,,,,,
0.60,0.10,,,,,
0.68,0.33,,,,,
0.64,0.30,,,,,
0.52,0.29,,,,,
0.53,0.27,,,,,
