Iself,Iother
0.151,0.124
0.145,-0.402
0.220,-0.293
0.151,0.348
-0.038,-0.373
0.723,0.194
0.145,0.217
-0.038,0.301
0.224,-0.279
0.699,-0.062
0.224,0.100
0.340,-0.148
0.699,-0.028
0.340,-0.233
0.925,0.034
0.915,-0.183
0.887,-0.296
0.925,-0.313
0.951,-0.214
0.932,-0.244
0.915,-0.477
0.951,-0.178
0.942,-0.378
0.887,-0.346
0.932,-0.109
0.942,-0.081
0.350,-0.217
0.398,-0.119
0.202,-0.302
0.350,0.009
0.483,0.159
-0.362,0.084
0.398,-0.167
0.483,0.257
0.130,0.472
0.202,0.691
-0.362,0.637
0.130,-0.075
0.364,-0.045
-0.015,-0.139
-0.136,-0.330
0.364,-0.333
0.738,-0.149
0.429,0.168
-0.015,0.017
0.738,-0.385
0.071,-0.399
-0.136,-0.153
0.429,0.071
0.071,-0.205
0.337,0.008
0.553,-0.294
0.337,-0.399
0.336,-0.048
0.553,-0.111
0.336,0.259
0.465,0.142
0.369,0.356
0.305,0.006
0.465,0.049
0.627,0.266
0.612,0.129
0.369,-0.114
0.627,0.243
0.802,-0.317
0.305,0.382
0.612,-0.347
0.802,-0.246
0.671,-0.243
0.462,-0.358
0.208,-0.375
0.671,-0.079
0.675,0.319
0.052,-0.007
0.462,0.018
0.675,0.133
0.631,-0.037
0.208,-0.028
0.052,-0.305
0.631,-0.461
0.689,-0.108
0.665,0.048
0.442,-0.213
0.689,0.158
0.540,0.486
0.510,0.039
0.665,-0.375
0.540,-0.428
0.830,-0.094
0.442,0.088
0.510,0.454
0.830,0.351
0.416,0.622
0.725,-0.255
0.713,-0.236
0.416,-0.292
0.532,-0.534
0.436,-0.217
0.725,-0.272
0.532,-0.230
0.945,-0.094
0.713,-0.031
0.436,0.024
0.945,-0.058
0.871,0.109
0.879,0.066
0.871,0.203
0.748,0.119
0.879,-0.331
0.748,-0.166
0.553,0.104
0.415,-0.186
0.552,-0.232
0.553,0.033
0.214,0.228
0.683,0.170
0.415,0.293
0.214,0.177
0.745,-0.032
0.552,-0.185
0.683,0.141
0.745,0.221
0.847,0.053
0.809,0.075
0.901,0.101
0.847,0.050
0.785,0.342
0.903,0.214
0.809,-0.144
0.785,-0.066
0.761,-0.053
0.901,0.030
0.903,0.041
0.761,-0.707
0.842,-0.150
0.521,-0.093
0.664,-0.275
0.842,0.235
0.670,0.041
0.677,-0.172
0.521,0.023
0.670,-0.043
0.769,-0.028
0.664,0.291
0.677,-0.240
0.769,-0.056
0.602,0.310
0.602,0.610
