-6,36,-8
-46,32,-10
-28,58,0
-48,28,0
-6,60,6
-6,44,6
-54,20,12
-16,68,8
-6,34,20
-4,52,28
-14,58,30
-22,50,32
-24,28,44
-40,20,48
-8,42,52
-18,36,48
-42,8,48
-30,14,58
-22,20,52
-12,24,60
-6,10,64
-8,-52,10
-14,-60,18
-4,-54,20
-6,-40,24
-10,-70,32
-6,-60,30
-8,-44,32
-4,-34,38
-2,-16,38
-2,-68,42
-6,-50,42
-11,12,-6
-23,3,0
-19,0,1
-11,-18,-6
34,-36,-24
30,-30,-18
36,-54,-18
38,-74,-16
26,-52,-8
24,-74,-10
18,-36,-12
20,-88,-12
50,-64,-10
42,-84,-12
10,-72,-6
14,-58,-4
26,-96,-10
18,-44,-2
8,-92,-2
48,-66,4
14,-46,4
36,-88,2
10,-74,8
22,-60,6
24,-98,8
44,-78,10
12,-94,18
16,-66,18
4,-80,24
28,-88,20
36,-78,24
14,-78,34
16,-86,36
30,-78,36
52,4,-6
62,-18,0
54,-14,6
40,-20,4
38,-8,14
34,-22,14
60,-24,10
64,-34,10
42,-14,18
42,-30,18
50,-10,14
60,0,10
48,-22,18
62,-12,16
60,6,30
60,-6,26
62,-14,30
52,-6,38
54,-16,40
12,-18,42
52,-12,50
44,-10,48
50,-26,56
6,-10,52
44,-22,54
38,-20,64
32,-34,64
30,-40,64
34,-28,62
4,-24,58
28,-10,64
10,-40,68
22,-24,66
22,-28,68
22,-34,70
16,-6,70
16,-46,74
6,-22,72
16,-18,74
12,-32,76
50,-50,-18
60,-54,-2
54,-56,12
46,-76,30
32,-66,36
58,-22,44
18,-78,50
44,-38,50
46,-28,42
30,-64,52
36,-44,44
20,-68,52
36,-36,52
34,-50,54
8,-72,52
26,-58,60
8,-54,60
14,-64,64
24,-50,68
40,-4,52
28,-4,52
24,-2,64
48,8,24
60,-46,6
52,-40,12
62,-40,22
58,-32,24
60,-22,22
62,-26,38
62,-38,36
52,4,40
40,6,-16
40,8,-2
40,-10,-4
40,-2,6
36,22,4
38,8,10
48,4,4
54,12,12
32,44,28
8,18,36
8,2,42
12,-34,42
6,10,58
10,-44,54
10,-32,50
6,-2,66
16,6,70
28,12,-30
54,-52,44
56,-40,48
36,-70,46
54,-32,52
46,-44,46
42,-56,48
64,-42,-10
34,22,-8
42,50,-6
28,60,2
50,40,6
42,46,14
50,30,18
48,18,24
26,54,24
48,28,28
38,10,34
38,34,38
44,18,44
42,6,50
34,16,56
24,10,58
14,-72,40
6,-64,44
6,-28,28
4,2,30
8,34,24
4,28,48
54,-46,20
48,-64,22
54,-54,26
56,-46,32
48,-64,42
50,8,-32
48,16,-20
54,-4,-14
64,-24,-8
48,-20,-8
64,-38,0
50,-34,2
34,22,-18
36,38,-14
48,32,-8
54,24,6
6,42,-10
10,66,0
8,42,4
8,54,12
18,64,16
6,26,18
6,58,30
16,52,36
4,44,40
26,34,38
14,38,52
24,26,50
12,20,62
12,-56,16
8,-44,20
16,-64,28
6,-52,24
