Subject,Run,TSNE1,TSNE2,TSNE3,Positive,Negative,Future,Past,Myself,People,Surroundings,Images,Words,Specific,Intrusive,Set Label,Group Probability
sub-010103,post-ses-02-run-01-acq-PA,-6.586527,3.1186137,7.3602138,-0.2,0.8571428571428571,-1.0,-0.25,0.14285714285714285,-1.2,0.23529411764705882,-1.0,0.3157894736842105,0.125,0.7142857142857143,Set A,0.9917343048869857
sub-010103,post-ses-02-run-02-acq-AP,-6.476003,4.5584593,5.6788845,-0.4,0.8571428571428571,-0.4,-0.125,0.14285714285714285,-0.6,0.35294117647058826,-0.8571428571428571,0.21052631578947367,0.0,0.5714285714285714,Set A,0.8680033379865296
sub-010103,post-ses-02-run-02-acq-PA,-6.9849076,4.3407164,5.998749,-0.4,0.8571428571428571,-0.4,-0.125,0.14285714285714285,-0.6,0.35294117647058826,-0.8571428571428571,0.21052631578947367,0.125,0.5714285714285714,Set A,0.8576871344655352
sub-010105,post-ses-02-run-01-acq-AP,-7.908844,-7.719313,-1.8896779,1.2,-0.7142857142857143,-1.2,0.75,0.2857142857142857,1.0,0.35294117647058826,0.0,0.631578947368421,-0.25,-0.2857142857142857,Set B,0.9908705377452959
sub-010105,post-ses-02-run-02-acq-AP,3.4766045,4.2333865,3.8721502,-0.6,0.5714285714285714,-0.2,0.25,0.2857142857142857,-0.4,0.23529411764705882,-0.5714285714285714,0.0,-1.5,-0.7142857142857143,Set A,0.8933770407443999
sub-010105,post-ses-02-run-02-acq-PA,5.2082357,4.9273663,2.3958414,0.8,0.0,0.6,-1.125,0.42857142857142855,-0.8,0.7058823529411765,-1.1428571428571428,0.42105263157894735,-1.25,-0.14285714285714285,Ambiguous,0.7606747693588237
sub-010106,post-ses-02-run-01-acq-PA,-8.24424,9.838768,2.3376606,-1.6,1.2857142857142858,0.0,-0.375,0.7142857142857143,-0.2,1.1764705882352942,-0.2857142857142857,0.21052631578947367,0.375,-0.14285714285714285,Set A,0.9750675262296906
sub-010106,post-ses-02-run-02-acq-PA,5.4682026,2.9920902,2.6971197,0.4,0.8571428571428571,0.8,-0.875,0.42857142857142855,0.2,0.35294117647058826,-0.14285714285714285,0.7368421052631579,-0.875,-1.0,Set B,0.9265848640983728
sub-010107,post-ses-02-run-01-acq-AP,-1.9273986,-4.064989,-11.870446,0.8,-0.5714285714285714,1.4,0.0,1.2857142857142858,1.2,0.0,0.8571428571428571,1.0526315789473684,1.0,0.2857142857142857,Set B,0.9998972911383175
sub-010107,post-ses-02-run-01-acq-PA,0.24617772,-2.7042863,-13.295961,1.4,0.14285714285714285,1.0,1.25,0.5714285714285714,0.6,0.0,0.8571428571428571,0.5263157894736842,0.25,0.2857142857142857,Set B,0.9998673967651133
